ID	X	Y	Curve
865	4230	10.387	61230013_M
866	4261	10.334	61230013_M
867	4291	10.317	61230013_M
868	4322	10.243	61230013_M
869	4352	10.137	61230013_M
870	4383	10.071	61230013_M
871	4414	10.05	61230013_M
872	4443	10.021	61230013_M
873	4474	10.15	61230013_M
874	4504	10.43	61230013_M
875	4535	10.767	61230013_M
876	4565	11.093	61230013_M
877	4596	11.116	61230013_M
878	4627	11.126	61230013_M
879	4657	10.706	61230013_M
880	4688	10.612	61230013_M
881	4718	10.359	61230013_M
882	4749	10.232	61230013_M
883	4780	10.366	61230013_M
884	4808	10.205	61230013_M
885	4839	10.179	61230013_M
886	4869	10.543	61230013_M
887	4900	10.991	61230013_M
888	4930	11.291	61230013_M
889	4961	11.405	61230013_M
890	4992	10.989	61230013_M
891	5022	10.92	61230013_M
892	5053	10.644	61230013_M
893	5083	10.473	61230013_M
894	5114	10.321	61230013_M
895	5145	10.246	61230013_M
896	5173	10.224	61230013_M
897	5204	10.215	61230013_M
898	5234	10.275	61230013_M
899	5265	10.417	61230013_M
900	5295	10.403	61230013_M
901	5326	10.447	61230013_M
902	5357	10.354	61230013_M
903	5387	10.254	61230013_M
904	5418	10.221	61230013_M
905	5448	10.138	61230013_M
906	5479	10.077	61230013_M
907	5510	10.074	61230013_M
908	5538	10.076	61230013_M
909	5569	10.181	61230013_M
910	5599	10.251	61230013_M
911	5630	10.58	61230013_M
912	5660	10.821	61230013_M
913	5691	11.017	61230013_M
914	5722	10.718	61230013_M
915	5752	10.549	61230013_M
916	5783	10.369	61230013_M
917	5813	10.272	61230013_M
918	5844	10.141	61230013_M
919	5875	10.244	61230013_M
920	5904	10.146	61230013_M
921	5935	10.114	61230013_M
922	5965	10.195	61230013_M
923	5996	10.266	61230013_M
924	6026	10.281	61230013_M
925	6057	10.291	61230013_M
926	6088	10.259	61230013_M
927	6118	10.204	61230013_M
928	6149	10.149	61230013_M
929	6179	10.088	61230013_M
930	6210	10.017	61230013_M
931	6241	10.053	61230013_M
932	6269	10.029	61230013_M
933	6300	10.048	61230013_M
934	6330	10.063	61230013_M
935	6361	10.411	61230013_M
